Acronym,Definition,Meaning,Department,Team/Area
LeGSB,Local eGovernment Standards Body,Source: The Knowledge accessed 2019-04-18,DfE,
LEO,Longitudinal Education Outcomes,"Data sharing between the DfE, DWP, HMRC and HESA provides a unique insight into the destinations of graduates and, by combining these sources, we can look at the progress of higher education leavers into the labour market.Source: Data Directorate 2021-03-30",DfE,
LEP,Local Enterprise Partnerships,"In the coalition agreement, the government committed to establishing local enterprise partnerships to replace the Regional Development Agencies. In June 2010 we invited businesses and councils to come together to form local enterprise partnerships whose geography properly reflects the natural economic areas of England.Source: {GOV.UK|https://www.gov.uk/government/publications/2010-to-2015-government-policy-local-enterprise-partnerships-leps-and-enterprise-zones/2010-to-2015-government-policy-local-enterprise-partnerships-leps-and-enterprise-zones} accessed 2016-07-20",DfE,
LEP,Local Enterprise Partnership,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/576427/161129_Appraisal_Guidance.pdf,DLUHC,
LEP,Local Employer Partnership,,,
LETTOL,Learning to Teach Online,Source: The Knowledge accessed 2019-04-18,DfE,
LFE,Learning From Experience,,BEIS,UK Vaccines Taskforce
LFS,Labour Force Survey,,DfE,
LFW,Legal Framework,Reference data used in civil legal aid. It's a bunch of interlinked spreadsheets and it's used by CCMS.,MoJ,
LGA,Local Government Association,"Formed on 1 April 1997, the LGA is a voluntary membership body with 422 member authorities covering every part of England and Wales. Source: {LGA website|http://www.local.gov.uk/} accessed 2015-06-05",DfE,
LGA ,Local Government Association,,DLUHC,
LGC,Local Government Chemists,,,
LGDC,Local Government Delivery Council,"The Local Government Delivery Council is a new joint central and local government strategy body set up by the Cabinet Office designed to co-ordinate policy to improve local services. The delivery council includes representatives from 14 local authorities; various stakeholder bodies such as the Local Government Association; and three key central government departments whose policies affect local government Department for Communities and Local Government, Department of Health and Department for Work and Pensions.Source: The Knowledge accessed 2019-04-18",DfE,
LGE,Local Government Employers,"Local Government Employers (LGE) was created by the Local Government Association and represents the interests of 375 Local Authorities in England and Wales as employers and has a key role in providing the main interface between employers and trade unions for consultation and negotiations on pay, pensions, workforce issues and advice and social partnership.  The employment groups within LGE's remit include: local government staff teachers school support staff firefighters coroners police and police support staff forensic medical examiners LGE works to: modernise pay and conditions agreements in England and Wales to achieve affordable, sustainable and flexible employment frameworks provide effective representation for local authorities and other stakeholders seeking to modernise their pay and conditions agreements, pension schemes and the employment contract offer practical guidance and solutions on pay, pensions and the employment contract to local authorities and other stakeholders  Working in consultation with, and on behalf of local authorities, regional employers and other stakeholders, LGE: represents local government employer interests on pay, pensions and employment issues to central government, government agencies, trades unions, and European institutions supports the employers sides of the national negotiating bodies provides advice and support for councils implementing national pay and conditions agreements offers technical advice, information and training on the Local Government Pension Scheme and related matters delivers guidance and advice on employment issues including: employment law, sickness absence management, reward systems and structures, health and safety, age discrimination and the workforce implications of procurementSource: The Knowledge accessed 2019-04-18",DfE,
LGFS,Litigators Graduated Fees Scheme,Fee scheme available to Solicitors who work on Crown Court cases,MoJ,
LGMB,Local Government Management Board,,DfE,
LGNTO,Local Government National Training Organisation,Source: The Knowledge accessed 2019-04-18,DfE,
LGO,Local Government and Social Care Ombudsman,"We look at individual complaints about councils, all adult social care providers (including care homes and home care agencies) and some other organisations providing local public services. We are a free service. We investigate complaints in a fair and independent way - we do not take sides.Source: {Local Government and Social Care Ombudsman website|https://www.lgo.org.uk/} accessed 2020-06-29",DfE,
LGPS,Local Government Pension Scheme,Collective name for pension schemes of local governments,DLUHC,Local Govt 
LGR,Local government reorganisation,,DfE,
LGS,Loan Guarantee Scheme,1986/unknown. Replaced by Enterprise Finance Guarantee.Source: Business Link website as at 2011-01-20,DfE,
LHN,Local Housing Needs,,DLUHC,
Lib (civil service grade),Librarians,,DfE,
LIBRA,,"Case management system used by Magistrate Courts only to record case details, hearing dates, applicant details etc. Note that this system is not used by Crown Courts.",MoJ,
LIDS,Local Inmate Data System,Prison-wide computer system to log details of all prisoners and their sentences. Has been replaced by NOMIS.,MoJ,
LIF,Local Initiative Fund,1992,DfE,
LIFT,Literacy Initiative From Teachers,"Literacy Initiative From Teachers (LIFT), developed in the London Borough of Westminster, is a Key Stage 1 classroom programme based on the type of classroom practice which works well alongside Reading Recovery. LIFT involves an Inset programme, demonstration classrooms and long term advice and support. The LIFT programme has been adapted for the National Literacy Project.Source: The Knowledge accessed 2019-04-18Source: {Leeds University BERA|http://www.leeds.ac.uk/educol/documents/000000363.htm} accessed 2020-11-12",DfE,
LIMP,Local Incident Management Plan,,,
LiPs,Litigants in Persons,People at court without a professional representative.,MoJ,
Liquid Logic,,"Children’s Services system supplier to multiple local authorities for children's social care (market leader), education, and early help",MoJ,
LIS (learners),Learner Information Suite,Source: The Knowledge accessed 2019-04-18,DfE,
LIS (library),Library and information science,,DfE,
LIT,Local Implementation Team,Seems to be a common acronym for national->regional->local projects with CPS/Police/CJS.,MoJ,
LIU,Laboratories Investigation Unit,,DfE,
LLA,Lifelong Learning Accounts,,DfE,
LLDD,Learners with learning difficulties and/or disabilities,,DfE,
LLDP,Lifelong Learning Development Plan,Source: The Knowledge accessed 2019-04-18,DfE,
LLM,Large Local Major ,,DLUHC,
LLN,Lifelong Learning Networks,"Funded by HEFCE between 2004 and 2012. The networks, known as LLNs, are regional partnerships of universities and colleges. LLNs aim to improve and make sense of opportunities for learners on vocational programmes to be able to enter (progress into) higher education (HE). Source: {HEFCE website|http://www.hefce.ac.uk/pubs/rereports/Year/2010/llnsummevaln/Title,92243,en.html} accessed 2015-06-05",DfE,
LLP,Local Learning Partnerships,Source: The Knowledge accessed 2019-04-18,DfE,
LLR,London Living Rent,,DLUHC,
LLSC,Local Learning Skills Council,Source: The Knowledge accessed 2019-04-18,DfE,
LLU+,Language and Literacy Unit+,Source: The Knowledge accessed 2019-04-18,DfE,
LM,Line Manager,,Civil Service Wide,
LM (childrens services),Lead Member,The Children Act 2004 requires every top-tier or unitary authority in England to designate a Lead Member (LM) for children's services. The LM has political accountability for the effectiveness of all Local Authority children's services and provides leadership across the range of Local Authority children's services and through engagement with partners.Source: The Knowledge accessed 2019-04-18,DfE,
LMA,Line Managers Assurance,,,
LMAO,Labour Market Adjudication Officers,"Source: Department for Education and Employment and Office for Standards in Education., (1997). Departmental Report: The Government's Expenditure Plans 1997-98 to 1999-2000 Cm 3610. London: The Stationery Office [ISBN: 0101361025]",DfE,
LMAS,Leadership and Management Advisory Service,,DfE,
LMCE,Local Management in Community Education,Source: The Knowledge accessed 2019-04-18,DfE,
LMS,Labour Market System,Software used by the JobCentre to manage claimant records/appointments for Legacy claims,DWP,
LMS (labour),Labour Market Systems,"Source: Department for Education and Employment and Office for Standards in Education., (1998). Departmental Report: The Government's Expenditure Plans for 1998-99 Cm 3910. London: The Stationery Office [ISBN 0101391021]",DfE,
LMS (local),Local management of schools,"System of formula funding and delegated budgeting for schools. 1990-1999. Further information below from The Knowledge accessed 2019-04-18 Introduced in 1990, Local Management of Schools (LMS) altered the way schools in Northern Ireland were funded and managed by giving the various Boards of Governors and School Principles the autonomy to make decisions on the allocation of resources and priorities. Education and Library Boards (there are five in total) are similar to Local Authorities in England and Wales; and they are allowed under LMS to allocate recurrent resources as are the Department for Education. Over 1 billion was spent on education 340,000 children in Northern Ireland.",DfE,
LMSS,Local Management of Special Schools,Source: The Knowledge accessed 2019-04-18,DfE,
LMU,Labour Market Unit,,DWP,
LNA,Learning Needs Analysis,,,
LNR,Local Nature Recovery,,Defra,Future Farming
LOBP,Loss of Benefit Provision,,,
LODs,Law Officers' Departments,"The Attorney General and Solicitor General (the Law Officers) have overall responsibility for the work of: Crown Prosecution Service (CPS); HM Crown Prosecution Service Inspectorate (HMCPSI); Government Legal Department (GLD); Serious Fraud Office (SFO). Together with the Attorney General’s Office (AGO), these departments are known as the Law Officers’ Departments (LODs).",LODs,
LOT,Longer Occupational Training,Longer Occupational Training (LOT) is a programme for people who have the ability and motivation to take on and/or retain employment but who need additional skills and/or work experience to get a specific type of job. LOT is delivered as part of New Deal 25+ Intensive Activity Period or work-based learning for adults.Source: The Knowledge accessed 2019-04-18,DfE,
LOTCC,Learning Outside the Classroom Council,Source: The Knowledge accessed 2019-04-18,DfE,
LP (NLP),(New) London Plan,,DLUHC,
LPA,Local Planning Authorities,,DLUHC,
LPA,Lasting Power of Attorney,"This isn't usually capitalised, though GOV.UK and OPG do so.",MoJ,
LPG,Learning Platform for Government,Replaced Civil Service Learning (CSL) during October 2019.,DfE,
LPMO,Local Programme Management Office,,DfE,
LPs,Lone Parents,,,
LPSA,Local Public Service Agreement,Source: The Knowledge accessed 2019-04-18,DfE,
LPSH,Leadership Programme for Serving Headteachers,,DfE,
LPT,London Probation Trust,,MoJ,
LR,Learner Responsive,"Learner Responsive Business Definition DEFINITION 1. Learner Responsive refers to two out of the three demand-led funding models used to calculate funding by the LSC. DETAILED DESCRIPTION 2. There are two learner responsive funding models; 16-18 Learner Responsive covering learners in the 16-18 range. Adult Learner Responsive covering learners aged 19 and over. 3. These models cover funding based on learner choice and demand, whilst the Employer Responsive model covers provision led by employer choice. Last date modified: 11th November 2008Source: {The National Archives|https://webarchive.nationalarchives.gov.uk/20140104152824/http://www.thedataservice.org.uk/datadictionary/businessdefinitions/Learner+Responsive.htm} accessed 2019-08-01",DfE,
LR,Licence Recall,,MoJ,
LR,Landscape recovery,,,
LRB,Learner Registration Body [Provider],,DfE,
LRS,Learning Records Service,"Previously named Managing Information Across Partners (MIAP) and the Learner Registration Service, renamed in 2010. S",DfE,
LRU,London Resilience Unit,,,
LS,Learner Statements,,DfE,
LSA,Learning support assistants,,DfE,
LSAC,Language Sports and Arts Colleges,Source: The Knowledge accessed 2019-04-18,DfE,
LSAST,Live Services Applications Support Team (also a Prison-NOMIS Dev / Test environment by the same name),"This was the Prison-NOMIS Application Support Team's name, and an environment named 'LSAST' was originally built for them, but now it is now also used by NART for dev/test purposes",MoJ,
LSB,Local Schools Budget,Source: The Knowledge accessed 2019-04-18,DfE,
LSC,Learning and Skills Council,"Succeeded in 2010 by the Skills Funding Agency and the Young People's Learning Agency.The Learning and Skills Council (LSC) was a BIS-sponsored NDPB, established under the Learning and Skills Act 2000. This followed the white paper called ""Learning to Succeed"", TSO, 1999. Cm 4392. It became fully operational in April 2001 when sponsored by the Department for Education and Skills, replacing the Further Education Funding Council and the 72 training and enterprise councils. Its function was to plan and fund post-16 learning in England, including: Further Education, work-based training, and adult and community learning.",DfE,
LSC,Legal Services Commision,Now the LAA,MoJ,
LSCB,Local Safeguarding Children Boards,"Each local authority is required to set up an LSCB to bring key agencies such as police, probation, youth justice, heath, education and social care together to make sure local safeguarding of children is effective.Source: {LSCB chairs website|http://www.lscbchairs.org.uk/LSCB} accessed 2015-06-05",DfE,
LSCB,Local Safeguarding Children Board,,MoJ,
LSDA,Learning and Skills Development Agency,"In 2006 succeeded by the Quality Improvement Agency and the Learning and Skills Network. Further information below from The Knowledge accessed 2019-04-18 The Learning and Skills Development Agency (LSDA) was a body funded by the Department for Education and Skills (DfES) that supported organisations delivering post-16 education and training through research and training; it did not have NDPB status. It was the new name for the Further Education Development Agency. It was part of the new learning and skills sector established in April 2001. (For further information see ""Making it Work"". LSDA, 2001). Plans for the agency were first announced at LSDA in June 2004, Press Notice 2004/0117. In April 2006 the strategy part of LSDA became the Quality Improvement Agency (QIA) for Lifelong Learning and the delivery part became Learning and Skills Network. QIA has since become part of the Learning and Skills Improvement Service.",DfE,
LSE,London School of Economics,,DfE,
LSEB,London Skills and Employment Board,"Responsible for delivering a long-term strategy for adult skills and employment in London. Source: LSEB website as at 2012-05-14 Further information below from The Knowledge accessed 2019-04-18 The London Skills and Employment Board (LSEB) was set up and first met in December 2006. It was created following a Government consultation on extending the Mayors powers in a number of areas, including skills. It is chaired by the Mayor of London and comprises major London employers to ensure that its work is driven by the needs of employers and that skills provision meets the existing and future needs of the London workforce. The Board is responsible for developing a long-term skills and employment strategy for London, based on research and evidence, focusing on improving skills of all Londoners and on identifying ways of tackling worklessness. Its primary responsibility is for the strategic direction of the adult skills budget in London (approximately 560m per year). In addition, it seeks to influence the spending and priorities of other key agencies such as Jobcentre Plus, London Development Agency and the Higher Education Funding Council for England. The Board works within the framework of the National Skills Strategy and is accountable to the Secretary of State. Ambition The Boards ambition is to create the most successful and globally competitive labour market, that meets the current and future needs of both employers and Londoners, by: Supporting and promoting a thriving London economy Encouraging social and economic inclusion and cohesion Ensuring that London is able to attract, retain and train the highest quality talent Offering those not in work (especially those most in need) pathways to sustainable employment / careers Offering those in work the ability to enhance their skills and capabilities, creating an ""escalator effect"" which meets the career aspirations of individual employees and the changing needs of London employers",DfE,
LSH,Learner Support Hardship,,DfE,
LSI,Local Schools Information,Source: The Knowledge accessed 2019-04-18,DfE,
LSIS,Learning and Skills Improvement Service,"Launched in October 2008, formed from the merger of the Quality Improvement Agency and the Centre for Excellence in Leadership.",DfE,
LSN,Learning and Skills Network,Set up in 2006 as a part successor to the Learning and Skills Development Agency.The Learning and Skills Network (LSN) is an independent not-for-profit organisation committed to making a difference to education and training. ,DfE,
LSO,Life Sciences Organisation,DIT Team,BEIS,UK Vaccines Taskforce
LSP,Local strategic partnerships,"Non-statutory, multi-agency partnerships which match local authority boundaries. LSPs bring together at a local level the different parts of the public, private, community and voluntary sectors allowing different initiatives and services to support one another so they can work together more effectively.",DfE,
LST,Land Securities Trillium,,,
LSYPE,Longitudinal Study of Young People in England,,DfE,
LT,Leadership Team,,DfE,
LTAHW,Living Together as Husband and Wife,,DWP,
LTC,Loan to cost,,DLUHC,
LTD,Late Transfer Date,,MoJ,
LTHSE,Long Term High Security Estates,,MoJ,
LTL,Learning through Landscapes,Learning through Landscapes is the UK charity dedicated to enhancing outdoor learning and play for children.Source: {LTL|http://www.ltl.org.uk/about/about-ltl.php} accessed 2017-02-28,DfE,
LTM,Leadership Team Meeting,,,
LTP,(NHS) Long Term Plan,,NHSx,Org Wide
LTSN,Learning and Teaching Support Network,Source: The Knowledge accessed 2019-04-18,DfE,
LTT,Lines to take,,DLUHC,
LUF,Levelling Up Fund,"Levelling Up Funds 1, 2 and 3",DLUHC,
LUP,Levelling Up Partnership,,DLUHC,
LUWP,Levelling Up White Paper,,DLUHC,
LVC,Land Value Capture,,DLUHC,
LVU ,Land Value Uplift ,,DLUHC,
M&C,Match and Claim system,,DfE,
MA,Maternity Allowance,,,
MA (apprenticeships),Modern Apprenticeships,,DfE,
MAA,Marketing Authorisation Approval,,BEIS,UK Vaccines Taskforce
MAAT,Means Assessment Administration Tool,Web app used by caseworkers to process legal aid applications for criminal cases.,MoJ,
MAC,Migration Advisory Committee,"The Migration Advisory Committee (MAC) is an independent, non-statutory, non-time limited, non-departmental public body that advises the government on migration issues.Source: {GOV.UK|https://www.gov.uk/government/organisations/migration-advisory-committee/about} accessed 2019-08-29",DfE,
MaLi,Master list of initiatives,An MOJ Technology list of all projects and programmes of work across the ministry,MoJ,
MALRAP,Multi Agency Lifer Risk Assessment Panel,,MoJ,
MAP,Modern Apprenticeships Programme,,DfE,
MAPPA,Multi-Agency Public Protection Arrangements,,MoJ,
MAPPS,Multi-Agency Public Protection Service,will replace VISOR. In development from 2021 until approx 2024,MoJ,
MARAC,Multi Agency Risk Assessment Conference,"A local, multi agency victim-focused meeting where information is shared on the highest risk cases of domestic violence and abuse (includes considerations of child protection) between different statutory and voluntary sector agencies",MoJ,
MaSH,Management and Safety of Health (MaSH) Toolkit,,,
MaST,Mandatory and Statutory Training,,NHSx,Org Wide
MAT,Multi-academy trusts,,DfE,
may,denotes approval,Formal term from UK Government Orange Book: Management of Risk - Principles and Concepts.,MoJ,
MBA,Master of Business Administration,,DfE,
MBS,Music and Ballet Schools Scheme,Source: The Knowledge accessed 2019-04-16,DfE,
MCA,Mayoral Combined Authorities,,DfE,
MCA,Mayoral Combined Authorities,,DLUHC,
MCA,Mental Capacity Act,,MoJ,
MCF,Multi-Client Forum,,,
MCI,Management Charter Initiative,"Set up 1989, later replaced by the Management Enterprise Training Organisation (METO), derecognised by DfEE (1995-2001) in March 2000.",DfE,
MCL,Minimum Contract Level,,DfE,
MCO,Minister for the Cabinet Office,A ministerial role within the Cabinet Office. https://www.gov.uk/government/ministers/minister-for-the-cabinet-office,Cabinet Office,
MCOL,Money Claim Online,"Online service to ""take court action against someone if they owe you money and won’t pay you back"".",MoJ,
MCQ,Minor Change Quotation,Related to tender documents.,MoJ,
MCS,Millennium Cohort Study,,DfE,
MCV,Maximum Contract Value,,DfE,
MCWI,Ministerial Committee on Women's Issues,,DfE,
MDA,Most Deprived Area,,DfE,
MDC,Mayoral Development Corporation,,DLUHC,
MDEP,Music and Dance Expert Panel,Source: The Knowledge accessed 2019-04-16,DfE,
MDIF,Multi-academy trust Development and Improvement Fund,The Multi-academy trust (MAT) Development and Improvement Fund (MDIF) aims to provide additional funding to trusts in order to improve schools and increase social mobility.Source: {GOV.UK|https://www.gov.uk/guidance/apply-to-the-mat-development-and-improvement-fund} accessed 2019-01-03,DfE,
MDM,Master Data Management,,DfE,
MDMTF,Medicines and Diagnostics Manufacturing Transformation Fund ,,BEIS,UK Vaccines Taskforce
MDR,Master Data Repository,,DfE,
MDS,Music and Dance Scheme,1973- Formerly the Music and Ballet Scheme until 2000. The Music and Dance Scheme provides grants and help with fees at 8 independent schools and 21 centres for advanced training.Source: {GOV.UK|https://www.gov.uk/music-dance-scheme} accessed 2016-02-09,DfE,
MDS,Minimum Data Set,,MoJ,
ME (exceptions),Mandatory Exceptions,Source: The Knowledge accessed 2019-04-16,DfE,
MEAG,Moral and Ethical Advisory Group,,BEIS,UK Vaccines Taskforce
MEC,Medical Examination Centre,,,
MEF,Muslim Education Forum,"The Muslim Education Forum (MEF) is an umbrella organisation consisting of the Muslim Teachers Network, the Muslim Parents Association and the Muslim Student Project. It represents the needs of Muslim pupils; aims to involve Muslim parents in their children's education; and works to prevent Muslim pupils disengaging from education.Source: The Knowledge accessed 2019-04-16",DfE,
MEG,Midland Examining Group,Source: The Knowledge accessed 2019-04-16,DfE,
MEGS,MUSIC ENTERPRISE GRANTS,,,
MELSO,Managed Effective Learning in Schools,Source: The Knowledge accessed 2019-04-16,DfE,
META programme,Minority Ethnic Talent Association,"META (Minority Ethnic Talent Association) is an accelerated development programme, aimed at staff from ethnic minority groups with the ambition and potential to become future leaders of the Civil Service. The programme was fully integrated with the FLS in 2016 meaning all successful FLS and SLS participants from an ethnic minority background will be offered a place on META. Alumni from the META/PAP and Accelerate schemes are eligible for a guaranteed interview during selection but must still complete previous stages of the assessment.Source: Data Directorate 2019-08-01",DfE,
MFA,Multi Factor Authentication,,DfE,
MFD,Multi-Function Device,Source: The Knowledge accessed 2019-04-16,DfE,
MFD,Multifunctional device,"Printers at MOJ, which can also be used to scan in documents (hence the 'multifunctional' bit).",MoJ,
MFL,Modern foreign languages,,DfE,
MFM,Mockingbird Family Model,An evaluation of the Mockingbird family model (MFM) approach to supporting foster carers and the children placed with them.Source: {GOV.UK|https://www.gov.uk/government/publications/mockingbird-family-model-evaluation} accessed 2020-08-19,DfE,
MFO,Monthly Forecast Outturn,Source: The Knowledge accessed 2019-04-16,DfE,
MHA,Mental Health Act,,DHSC,
MHCLG,Ministry of Housing Communities and Local Government,"Department for Communities and Local Government was re-named Ministry of Housing, Communities and Local Government on 09 January 2018 following a Cabinet re-shuffle. The remit of the department was unchanged, but the new name considered to be a better reflection of the department's responsibilities. 09/01/2018",DLUHC,
MHRA,Human Medicines Regulations,,BEIS,UK Vaccines Taskforce
MHRA,Medicines & Healthcare products Regulatory Agency,,DHSC,UK Vaccines Taskforce
MHST,Mental Health Support Teams (for children and young people),"Supported by partners, NHS England is leading the delivery of two of the programmes main commitments: Establishing new Mental Health Support Teams (MHSTs), which is jointly delivered with the Department for Education. MHSTs will develop models of early intervention on mild to moderate mental health and emotional wellbeing issues, such as anxiety, behavioural difficulties or friendship issues, as well as providing help to staff within a school and college setting. The teams will act as a link with local children and young peoples mental health services and be supervised by NHS staff.Source: {NHS England|https://www.england.nhs.uk/mental-health/cyp/trailblazers/} accessed 2019-10-30",DfE,
MI,Management Information,Data or Statistics indicating performance of certain areas as stated in the Code of Practice for Statistics but do not meet the threshold for Official Statistics.,Civil Service Wide,Org Wide
MI,Management Information,Data or Statistics indicating performance of certain areas as stated in the Code of Practice for Statistics but do not meet the threshold for Official Statistics.,Civil Service Wide,Org Wide
MI,Management Information,Data or Statistics indicating performance of certain areas as stated in the Code of Practice for Statistics but do not meet the threshold for Official Statistics.,Civil Service Wide,Org Wide
MI (information),Management information,Data or Statistics indicating performance of certain areas as stated in the Code of Practice for Statistics but do not meet the threshold for Official Statistics.,Civil Service Wide,Org Wide
MI (instances),Managed instances,,DfE,
MIA,Manufacturing and/or Importation Authorisation,,BEIS,UK Vaccines Taskforce
MIAP,Managing Information Across Partners,"Aimed to simplify the way information about learners and providers was collected, handled and shared. Led by DIUS (2007-2009) / BIS (2009-.) and delivered by the LSC (2001-2010). In 2010 renamed the Learning Records Service.",DfE,
MIC,Minimum Inhibitory Concentration,,BEIS,UK Vaccines Taskforce
MiC,Mathematics in Context,Source: The Knowledge accessed 2019-04-16,DfE,
MIDAS,Matching Intelligence and Data Analysis,,,
might,denotes a possibility,Formal term from UK Government Orange Book: Management of Risk - Principles and Concepts.,MoJ,
MINT,Managed INTerconnect,Two firewalls that bridge the OMNI and Quantum networks.,MoJ,
MIS,Management Information Systems,,DfE,
MIS,Management Information System,,MoJ,
MISE,Management Information Systems in Education,Source: The Knowledge accessed 2019-04-16,DfE,
MISEP,Mutual Information System on Employment Policies,Source: The Knowledge accessed 2019-04-16,DfE,
MISP,Management Information System Programme,,,
MITM,Man In The Middle,,MoJ,
MLD,Mild Learning Difficulties,Source: The Knowledge accessed 2019-04-16,DfE,
MLE,Managed Learning Environment,"Managed Learning Environment comprises a range of information systems and processes that support learning and the management of learning within an institution. It includes Virtual Learning Environments, administrative and other support systems.Source: The Knowledge accessed 2019-04-16",DfE,
MLP,Minimum Level of Performance,,DfE,
MLRA,Managed Libra Record Access application,Web app used by LAA caseworkers to access court information on Libra,MoJ,
MMC,Modern Methods of Construction,,DLUHC,
MMIC,Medicines Manufacturing Innovation Centre ,,BEIS,UK Vaccines Taskforce
MMIP,Medicines Manufacturing Industry Partnership ,"Industry network of UK medicines manufacturers. Supported by ABPI, BIA and IUK. Co-established by government.",BEIS,UK Vaccines Taskforce
MMO,Marine Management Organisation,,Defra,Major Projects & Digital Delivery 
MNS,Maintained nursery schools,,DfE,
MO,Modus Operandi ,,BEIS,UK Vaccines Taskforce
MOD,Ministry of Defence,,DfE,
MoD,Ministry of Defence,,MoD,
MODs,Models for Operational Delivery,,MoJ,
MOE,More Open Enrolment,Source: The Knowledge accessed 2019-04-16,DfE,
MOG,Machinery of Government (change),,BEIS,UK Vaccines Taskforce
MOG,Machinery of government,"A Machinery of Government (MoG) change is a transfer of functions between Ministers, either: a. between Ministers in charge of Departments or other Cabinet Ministers, or b. between a Minister and a Non-Departmental Public Body (NDPB). It can affect functions carried out by the Ministers Department or a public body such as an Executive Agency under the Ministers control, or by other public bodies. The transfer of a function takes effect immediately unless specifically provided to the contrary.",DfE,
MOG,,,MoJ,
MOiC,Managing Offenders in Custody,,MoJ,
MoJ,Ministry of Justice,"Created 9 May 2007, replaced Department for Constitutional Affairs.",DfE,
MoJ,Ministry of Justice,,MoJ,
MOJ,Ministry of Justice,"Use capitals - 'MOJ', not 'MoJ'.Departments don’t take the definite article, so 'MOJ', not 'the MOJ'.",MoJ,
MOJFIN,MoJ Finance,Data warehouse the LAA finance team uses,MoJ,
MoL,Mayor of London,,DLUHC,
MOOC,Massive Open Online Courses,,DfE,
MoS,Minister of State,,Civil Service Wide,
MoS,Ministry of State,,DLUHC,
MOSAIC,Mail Opening Scanning and Image Circulation,,,
MoU,Memorandum of Understanding,,Civil Service Wide,
MoU,Memorandum of understanding,"Provides a framework for relations between organisations, building on existing partnerships. It defines individual responsibilities, shared priorities and how they will work together to best deliver these in line with their statutory responsibilities.",DfE,
MoU,Memorandum of Understanding,,DLUHC,
MOU,Mail Opening Unit,,DWP,
MOU,Memorandum Of Understanding,,MoJ,
MP,Ministerial Panel (VTF)),,BEIS,UK Vaccines Taskforce
MP,Members of Parliament,,Civil Service Wide,
MP,Modernisation Platform,The Modernisation Platform is a hosting platform where teams can host and modernise applications which are not suitable for Cloud Platform,MoJ,
MPA,Major Projects Authority (part of CO),,Cabinet Office,Project Delivery
MPCD (departmental organisational unit),Ministerial and Public Communications Division,Year(s) active (where known): 2017-,DfE,
MPF,Major Projects Function,,Defra,Major Projects & Digital Delivery 
MPM,Managing Public Money,,DLUHC,
MPR,Mid Posting Review,,Cabinet Office,Fast Stream
MPS,Moving People Safely,,MoJ,
MPSI,"Ministers, Parliament, Strategy and implementation",,MoJ,
MQPL,Measuring Quality of Prisoner Life,,MoJ,
MR,Manadatory Reconsideration,A request by a customer to reconsider a benefit decision made on their case,DWP,
MRC,UKRI Medical Research Council,The Medical Research Council (MRC) is responsible for co-coordinating and funding medical research in the United Kingdom. Part of UKRI.,BEIS,UK Vaccines Taskforce
MRC,Medical Research Council,"The Medical Research Council improves human health through world-class medical research. We fund research across the biomedical spectrum, from fundamental lab-based science to clinical trials, and in all major disease areas. Our research has resulted in life-changing discoveries for over a hundred years. We are a non-departmental public body funded through the government's science and research budget. We invest in research on behalf of the UK tax payer. Scientists apply for funding for their research and applications are reviewed by panels of independent experts.Source: {MRC|http://www.mrc.ac.uk/about/} accessed 2016-07-20",DfE,
MRN,Major Road Network,,DLUHC,
MRPQ,Mutual Recognition of Professional Qualifications,,DfE,
MRS,Model Repository Service,Forms part of the data management process along with the Enterprise Data Catalogue (EDC) and the Data Integration Service (DIS (data)).,DfE,
MSC,Manpower Services Commission,,DfE,
MSD,My Service Desk,,DfE,
MSD,MINISTERIAL STRATEGY DIRECTORATE,,DIT,
MSP (service provider),Managed Service Provider,Source: The Knowledge accessed 2019-04-16,DfE,
MSRS,Medical Services Referral System,,,
MSU,Ministerial Support Unit,"A form of correspondence that does require a Ministerial response, often from MPs or significant Stakeholders. https://intranet.mhclg.gov.uk/blog/msus-maximising-success-and-usefulness/",DLUHC,
MTA,Modified Test Agency,,DfE,
MTD,Mid Transfer Date,,MoJ,
MTDE,Minister for Tech & Digital Economy,"Responsible since Seotember 2021 for the following policy areas: Digital and tech policy, Online safety, International strategy, Gambling and lotteries, Legislation",DCMS,Digital
MTER,MEDIUM TERM ECONOMIC RESPONSE,,DIT,
MTFP,Medium Term Financial Plan,,,
MTL,Masters in Teaching and Learning,"Masters in Teaching and Learning (MTL) aims to build on the talents of teachers by making teaching a Masters level profession, boosting the status of the profession further and creating a world class teaching workforce. The MTL programme will be focused initially on teachers in their first five years of teaching but over time will be available to all teachers.",DfE,
MTP,Money To Prisoners,Currently a working name for a project digitising the process of sending money to UK prisoners.,MoJ,
MtW,Movement to Work,"Movement to Work is a voluntary collaboration of leading employers in the United Kingdom, including the Civil Service, who are helping young people aged 18 to 24 who are not in education, employment or training (NEETs) move closer to employment by providing quality work experience and learning opportunities.Source: {GOV.UK|https://www.gov.uk/governmentews/movement-to-work-work-experience-in-the-civil-service-for-unemployed-young-people} accessed 2018-01-29",DfE,
MV,Millennium Volunteers,"1997/unknown. Involved projects to expand volunteering among young people aged 16-24.Millennium Volunteers (MV) was launched in 1999. It was a national programme that provided volunteering and personal development opportunities for young people aged between 16 and 24. It put into practice what the Prime Minister said should become a Giving Age the idea of an active community which sees a step change in the level of community involvement, and people from all walks of life coming together to make their communities better places to live and work. It offered opportunities for personal development and the chance for young people to make a difference to their community.",DfE,
